"","OP688224.1_L1_515_0_ORF5_2017-05-23","OP688225.1_L1_518_0_ORF5_2017-05-23","OP688226.1_L1_519_0_ORF5_2017-05-23","OP688227.1_L1_520_0_ORF5_2017-05-23","OP688228.1_L1_521_0_ORF5_2017-05-23","OP688229.1_L1_522_0_ORF5_2017-05-23","OP688230.1_L1_519_2_ORF5_2017-06-07","OP688231.1_L1_520_2_ORF5_2017-06-07","OP688232.1_L1_502_4_ORF5_2017-06-22","OP688233.1_L1_503_4_ORF5_2017-06-22","OP688234.1_L1_508_4_ORF5_2017-06-22","OP688235.1_L1_533_4_ORF5_2017-06-22","OP688236.1_L1_546_4_ORF5_2017-06-22","OP688237.1_L1_552_4_ORF5_2017-06-22","OP688238.1_L1_569_4_ORF5_2017-06-22","OP688239.1_L1_572_4_ORF5_2017-06-22","OP688240.1_L1_502_6_ORF5_2017-07-13","OP688241.1_L1_503_6_ORF5_2017-07-13","OP688242.1_L1_504_6_ORF5_2017-07-13","OP688243.1_L1_507_6_ORF5_2017-07-13","OP688244.1_L1_508_6_ORF5_2017-07-13","OP688245.1_L1_512_6_ORF5_2017-07-13","OP688246.1_L1_515_6_ORF5_2017-07-13","OP688247.1_L1_521_6_ORF5_2017-07-13","OP688248.1_L1_523_6_ORF5_2017-07-13","OP688249.1_L1_524_6_ORF5_2017-07-13","OP688250.1_L1_526_6_ORF5_2017-07-13","OP688251.1_L1_527_6_ORF5_2017-07-13","OP688252.1_L1_530_6_ORF5_2017-07-13","OP688253.1_L1_533_6_ORF5_2017-07-13","OP688254.1_L1_536_6_ORF5_2017-07-13","OP688255.1_L1_539_6_ORF5_2017-07-13","OP688256.1_L1_541_6_ORF5_2017-07-13","OP688257.1_L1_542_6_ORF5_2017-07-13","OP688258.1_L1_544_6_ORF5_2017-07-13","OP688259.1_L1_546_6_ORF5_2017-07-13","OP688260.1_L1_547_6_ORF5_2017-07-13","OP688261.1_L1_549_6_ORF5_2017-07-13","OP688262.1_L1_550_6_ORF5_2017-07-13","OP688263.1_L1_552_6_ORF5_2017-07-13","OP688264.1_L1_557_6_ORF5_2017-07-13","OP688265.1_L1_558_6_ORF5_2017-07-13","OP688266.1_L1_560_6_ORF5_2017-07-13","OP688267.1_L1_565_6_ORF5_2017-07-13","OP688268.1_L1_566_6_ORF5_2017-07-13","OP688269.1_L1_567_6_ORF5_2017-07-13","OP688270.1_L1_568_6_ORF5_2017-07-13","OP688271.1_L1_569_6_ORF5_2017-07-13","OP688272.1_L1_570_6_ORF5_2017-07-13","OP688273.1_L1_572_6_ORF5_2017-07-13","OP688274.1_L1_501_9_ORF5_2017-07-25","OP688275.1_L1_504_9_ORF5_2017-07-25","OP688276.1_L1_505_9_ORF5_2017-07-25","OP688277.1_L1_507_9_ORF5_2017-07-25","OP688278.1_L1_514_9_ORF5_2017-07-25","OP688279.1_L1_522_9_ORF5_2017-07-25","OP688280.1_L1_523_9_ORF5_2017-07-25","OP688281.1_L1_524_9_ORF5_2017-07-25","OP688282.1_L1_525_9_ORF5_2017-07-25","OP688283.1_L1_529_9_ORF5_2017-07-25","OP688284.1_L1_530_9_ORF5_2017-07-25","OP688285.1_L1_535_9_ORF5_2017-07-25","OP688286.1_L1_537_9_ORF5_2017-07-25","OP688287.1_L1_538_9_ORF5_2017-07-25","OP688288.1_L1_539_9_ORF5_2017-07-25","OP688289.1_L1_541_9_ORF5_2017-07-25","OP688290.1_L1_542_9_ORF5_2017-07-25","OP688291.1_L1_543_9_ORF5_2017-07-25","OP688292.1_L1_544_9_ORF5_2017-07-25","OP688293.1_L1_546_9_ORF5_2017-07-25","OP688294.1_L1_547_9_ORF5_2017-07-25","OP688295.1_L1_550_9_ORF5_2017-07-25","OP688296.1_L1_554_9_ORF5_2017-07-25","OP688297.1_L1_556_9_ORF5_2017-07-25","OP688298.1_L1_557_9_ORF5_2017-07-25","OP688299.1_L1_558_9_ORF5_2017-07-25","OP688300.1_L1_560_9_ORF5_2017-07-25","OP688301.1_L1_561_9_ORF5_2017-07-25","OP688302.1_L1_562_9_ORF5_2017-07-25","OP688303.1_L1_565_9_ORF5_2017-07-25","OP688304.1_L1_566_9_ORF5_2017-07-25","OP688305.1_L1_567_9_ORF5_2017-07-25","OP688306.1_L1_568_9_ORF5_2017-07-25","OP688307.1_L1_570_9_ORF5_2017-07-25","OP688308.1_L1_571_9_ORF5_2017-07-25","OP688309.1_L1_572_9_ORF5_2017-07-25","OP688310.1_L3_759_3_ORF5_2018-03-22","OP688311.1_L3_789_3_ORF5_2018-03-22","OP688312.1_L3_806_3_ORF5_2018-03-22","OP688313.1_L3_807_3_ORF5_2018-03-22","OP688314.1_L3_819_3_ORF5_2018-03-22","OP688315.1_L3_753_6_ORF5_2018-04-12","OP688316.1_L3_759_6_ORF5_2018-04-12","OP688317.1_L3_760_6_ORF5_2018-04-12","OP688318.1_L3_772_6_ORF5_2018-04-12","OP688319.1_L3_773_6_ORF5_2018-04-12","OP688320.1_L3_774_6_ORF5_2018-04-12","OP688321.1_L3_777_6_ORF5_2018-04-12","OP688322.1_L3_788_6_ORF5_2018-04-12","OP688323.1_L3_789_6_ORF5_2018-04-12","OP688324.1_L3_793_6_ORF5_2018-04-12","OP688325.1_L3_795_6_ORF5_2018-04-12","OP688326.1_L3_802_6_ORF5_2018-04-12","OP688327.1_L3_804_6_ORF5_2018-04-12","OP688328.1_L3_805_6_ORF5_2018-04-12","OP688329.1_L3_807_6_ORF5_2018-04-12","OP688330.1_L3_808_6_ORF5_2018-04-12","OP688331.1_L3_809_6_ORF5_2018-04-12","OP688332.1_L3_812_6_ORF5_2018-04-12","OP688333.1_L3_814_6_ORF5_2018-04-12","OP688334.1_L3_818_6_ORF5_2018-04-12","OP688335.1_L3_819_6_ORF5_2018-04-12","OP688336.1_L3_820_6_ORF5_2018-04-12","OP688337.1_L3_753_9_ORF5_2018-04-25","OP688338.1_L3_759_9_ORF5_2018-04-25","OP688339.1_L3_764_9_ORF5_2018-04-25","OP688340.1_L3_765_9_ORF5_2018-04-25","OP688341.1_L3_767_9_ORF5_2018-04-25","OP688342.1_L3_772_9_ORF5_2018-04-25","OP688343.1_L3_773_9_ORF5_2018-04-25","OP688344.1_L3_774_9_ORF5_2018-04-25","OP688345.1_L3_777_9_ORF5_2018-04-25","OP688346.1_L3_787_9_ORF5_2018-04-25","OP688347.1_L3_793_9_ORF5_2018-04-25","OP688348.1_L3_795_9_ORF5_2018-04-25","OP688349.1_L3_799_9_ORF5_2018-04-25","OP688350.1_L3_802_9_ORF5_2018-04-25","OP688351.1_L3_804_9_ORF5_2018-04-25","OP688352.1_L3_805_9_ORF5_2018-04-25","OP688353.1_L3_808_9_ORF5_2018-04-25","OP688354.1_L3_809_9_ORF5_2018-04-25","OP688355.1_L3_812_9_ORF5_2018-04-25","OP688356.1_L3_814_9_ORF5_2018-04-25","OP688357.1_L3_818_9_ORF5_2018-04-25"
"OP688272.1_L1_570_6_ORF5_2017-07-13",99.5,99.34,99.34,99.5,99.17,99.34,99.17,99.34,100,99.83,99.01,99.17,100,99.34,99.01,99.17,100,99.83,99.34,100,99.01,99.01,98.84,99.34,100,99.5,99.34,99.34,99.5,98.84,99.34,99.34,99.34,100,99.83,99.83,100,99.17,99.67,99.34,99.34,100,100,99.17,99.17,99.34,99.34,99.17,100,99.17,99.34,99.34,99.34,99.83,99.17,99.34,100,99.5,99.34,99.5,99.34,99.83,99.34,100,99.34,99.34,100,99.34,99.67,99.83,100,99.67,99.34,99.34,99.34,100,100,99.5,99.34,99.34,99.01,99.34,99.34,99.83,99.5,99.17,98.51,98.51,98.35,98.35,98.35,98.68,98.51,98.35,98.51,98.35,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.51,98.35,98.35,98.68,98.51,98.68,98.68,98.84,98.35,98.68,98.68,98.68,98.68,98.51,98.68,98.35
"OP688273.1_L1_572_6_ORF5_2017-07-13",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.17,99.01,98.18,99.5,99.17,98.51,99.83,99.67,99.17,99.01,99.83,99.17,98.18,99.5,98.51,99.67,99.17,99.01,98.51,98.51,99.01,99.5,99.83,99.83,99.83,99.17,99.01,99.01,99.17,98.35,98.84,98.51,99.83,99.17,99.17,99.67,99.67,99.83,99.83,99.67,99.17,100,99.83,99.83,99.83,99.34,99.67,99.83,99.17,99.01,99.83,99.01,98.84,99.34,99.83,99.17,99.83,99.83,99.17,99.34,98.84,99.34,99.17,98.84,99.83,99.83,99.83,99.17,99.17,99.34,99.83,99.5,99.83,99.83,99.83,99.34,99.01,100,98.02,98.02,97.85,97.85,97.85,98.18,98.02,97.85,98.02,97.85,97.85,98.18,98.18,98.02,98.18,97.85,97.85,98.18,98.18,97.85,98.18,98.18,98.02,98.18,97.85,97.85,98.18,98.18,97.85,98.18,98.18,98.02,98.02,97.85,97.85,98.18,98.02,98.18,98.18,98.35,97.85,98.18,98.18,98.18,98.18,98.02,98.18,97.85
"OP688274.1_L1_501_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688275.1_L1_504_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688276.1_L1_505_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688277.1_L1_507_9_ORF5_2017-07-25",99.34,99.17,99.17,99.34,99.01,99.17,99.34,99.17,99.83,99.67,98.84,99.01,99.83,99.17,99.17,99.01,99.83,99.67,99.5,99.83,98.84,98.84,99.01,99.17,99.83,99.67,99.17,99.17,99.67,99.01,99.5,99.5,99.5,99.83,99.67,99.67,99.83,99.01,99.5,99.17,99.5,99.83,99.83,99.34,99.01,99.5,99.5,99.01,99.83,99.34,99.5,99.5,99.5,100,99.34,99.5,99.83,99.67,99.5,99.67,99.5,100,99.17,99.83,99.5,99.5,99.83,99.17,99.5,100,99.83,99.5,99.5,99.5,99.5,99.83,99.83,99.34,99.5,99.17,99.17,99.5,99.5,100,99.67,99.34,98.68,98.68,98.51,98.51,98.51,98.84,98.68,98.51,98.68,98.51,98.51,98.84,98.84,98.68,98.84,98.51,98.51,98.84,98.84,98.51,98.84,98.84,98.68,98.84,98.51,98.51,98.84,98.84,98.51,98.84,98.84,98.68,98.68,98.51,98.51,98.84,98.68,98.84,98.84,99.01,98.51,98.84,98.84,98.84,98.84,98.68,98.84,98.51
"OP688278.1_L1_514_9_ORF5_2017-07-25",98.68,99.17,99.17,99.34,99.01,99.17,99.34,99.5,99.17,99.01,98.18,99.34,99.17,98.51,99.5,99.34,99.17,99.01,99.83,99.17,98.18,99.17,98.35,99.5,99.17,99.01,98.51,98.51,99.01,99.34,99.83,99.83,99.83,99.17,99.01,99.01,99.17,98.35,98.84,98.51,99.83,99.17,99.17,99.67,99.34,99.83,99.83,99.34,99.17,99.67,99.83,99.83,99.83,99.34,100,99.5,99.17,99.01,99.83,99.01,98.84,99.34,99.5,99.17,99.83,99.83,99.17,99.34,98.84,99.34,99.17,98.84,99.83,99.83,99.83,99.17,99.17,99.34,99.83,99.5,99.5,99.83,99.83,99.34,99.01,99.67,98.02,98.02,97.85,97.85,97.85,98.18,98.02,97.85,98.02,97.85,97.85,98.18,98.18,98.02,98.18,97.85,97.85,98.18,98.18,97.85,98.18,98.18,98.02,98.18,97.85,97.85,98.18,98.18,97.85,98.18,98.18,98.02,98.02,97.85,97.85,98.18,98.02,98.18,98.18,98.35,97.85,98.18,98.18,98.18,98.18,98.02,98.18,97.85
"OP688279.1_L1_522_9_ORF5_2017-07-25",99.01,99.5,99.5,99.67,99.34,99.5,99.67,99.5,99.34,99.17,98.35,99.34,99.34,98.68,99.67,99.5,99.34,99.17,99.67,99.34,98.35,99.34,98.68,99.5,99.34,99.17,98.68,98.68,99.17,99.34,99.67,99.67,99.67,99.34,99.17,99.17,99.34,98.51,99.01,98.68,99.67,99.34,99.34,99.5,99.5,99.67,99.67,99.5,99.34,99.83,99.67,99.67,99.67,99.5,99.5,100,99.34,99.17,99.67,99.17,99.01,99.5,99.67,99.34,99.67,99.67,99.34,99.34,99.01,99.5,99.34,99.01,99.67,99.67,99.67,99.34,99.34,99.5,99.67,99.34,99.67,99.67,99.67,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688280.1_L1_523_9_ORF5_2017-07-25",99.5,99.34,99.34,99.5,99.17,99.34,99.17,99.34,100,99.83,99.01,99.17,100,99.34,99.01,99.17,100,99.83,99.34,100,99.01,99.01,98.84,99.34,100,99.5,99.34,99.34,99.5,98.84,99.34,99.34,99.34,100,99.83,99.83,100,99.17,99.67,99.34,99.34,100,100,99.17,99.17,99.34,99.34,99.17,100,99.17,99.34,99.34,99.34,99.83,99.17,99.34,100,99.5,99.34,99.5,99.34,99.83,99.34,100,99.34,99.34,100,99.34,99.67,99.83,100,99.67,99.34,99.34,99.34,100,100,99.5,99.34,99.34,99.01,99.34,99.34,99.83,99.5,99.17,98.51,98.51,98.35,98.35,98.35,98.68,98.51,98.35,98.51,98.35,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.51,98.35,98.35,98.68,98.51,98.68,98.68,98.84,98.35,98.68,98.68,98.68,98.68,98.51,98.68,98.35
"OP688281.1_L1_524_9_ORF5_2017-07-25",99.01,98.84,98.84,99.01,98.68,98.84,99.01,98.84,99.5,99.34,98.51,98.68,99.5,98.84,98.84,98.68,99.5,99.34,99.17,99.5,98.51,98.51,98.68,98.84,99.5,100,98.84,98.84,100,98.68,99.17,99.17,99.17,99.5,99.34,99.34,99.5,98.68,99.17,98.84,99.17,99.5,99.5,99.01,98.68,99.17,99.17,98.68,99.5,99.01,99.17,99.17,99.17,99.67,99.01,99.17,99.5,100,99.17,100,99.83,99.67,98.84,99.5,99.17,99.17,99.5,98.84,99.17,99.67,99.5,99.17,99.17,99.17,99.17,99.5,99.5,99.01,99.17,98.84,98.84,99.17,99.17,99.67,100,99.01,98.35,98.35,98.18,98.18,98.18,98.51,98.35,98.18,98.35,98.18,98.18,98.51,98.51,98.35,98.51,98.18,98.18,98.51,98.51,98.18,98.51,98.51,98.68,98.51,98.18,98.18,98.51,98.51,98.18,98.51,98.51,98.35,98.35,98.18,98.18,98.51,98.35,98.51,98.51,98.68,98.18,98.51,98.51,98.51,98.51,98.68,98.51,98.18
"OP688282.1_L1_525_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688283.1_L1_529_9_ORF5_2017-07-25",99.01,98.84,98.84,99.01,98.68,98.84,99.01,98.84,99.5,99.34,98.51,98.68,99.5,98.84,98.84,98.68,99.5,99.34,99.17,99.5,98.51,98.51,98.68,98.84,99.5,100,98.84,98.84,100,98.68,99.17,99.17,99.17,99.5,99.34,99.34,99.5,98.68,99.17,98.84,99.17,99.5,99.5,99.01,98.68,99.17,99.17,98.68,99.5,99.01,99.17,99.17,99.17,99.67,99.01,99.17,99.5,100,99.17,100,99.83,99.67,98.84,99.5,99.17,99.17,99.5,98.84,99.17,99.67,99.5,99.17,99.17,99.17,99.17,99.5,99.5,99.01,99.17,98.84,98.84,99.17,99.17,99.67,100,99.01,98.35,98.35,98.18,98.18,98.18,98.51,98.35,98.18,98.35,98.18,98.18,98.51,98.51,98.35,98.51,98.18,98.18,98.51,98.51,98.18,98.51,98.51,98.68,98.51,98.18,98.18,98.51,98.51,98.18,98.51,98.51,98.35,98.35,98.18,98.18,98.51,98.35,98.51,98.51,98.68,98.18,98.51,98.51,98.51,98.51,98.68,98.51,98.18
"OP688284.1_L1_530_9_ORF5_2017-07-25",98.84,98.68,98.68,98.84,98.51,98.68,98.84,98.68,99.34,99.17,98.35,98.51,99.34,98.68,98.68,98.51,99.34,99.17,99.01,99.34,98.35,98.35,98.51,98.68,99.34,99.83,98.68,98.68,99.83,98.51,99.01,99.01,99.01,99.34,99.17,99.17,99.34,98.51,99.01,98.68,99.01,99.34,99.34,98.84,98.51,99.01,99.01,98.51,99.34,98.84,99.01,99.01,99.01,99.5,98.84,99.01,99.34,99.83,99.01,99.83,100,99.5,98.68,99.34,99.01,99.01,99.34,98.68,99.01,99.5,99.34,99.01,99.01,99.01,99.01,99.34,99.34,98.84,99.01,98.68,98.68,99.01,99.01,99.5,99.83,98.84,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.51,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.51,98.35,98.02
"OP688285.1_L1_535_9_ORF5_2017-07-25",99.34,99.17,99.17,99.34,99.01,99.17,99.34,99.17,99.83,99.67,98.84,99.01,99.83,99.17,99.17,99.01,99.83,99.67,99.5,99.83,98.84,98.84,99.01,99.17,99.83,99.67,99.17,99.17,99.67,99.01,99.5,99.5,99.5,99.83,99.67,99.67,99.83,99.01,99.5,99.17,99.5,99.83,99.83,99.34,99.01,99.5,99.5,99.01,99.83,99.34,99.5,99.5,99.5,100,99.34,99.5,99.83,99.67,99.5,99.67,99.5,100,99.17,99.83,99.5,99.5,99.83,99.17,99.5,100,99.83,99.5,99.5,99.5,99.5,99.83,99.83,99.34,99.5,99.17,99.17,99.5,99.5,100,99.67,99.34,98.68,98.68,98.51,98.51,98.51,98.84,98.68,98.51,98.68,98.51,98.51,98.84,98.84,98.68,98.84,98.51,98.51,98.84,98.84,98.51,98.84,98.84,98.68,98.84,98.51,98.51,98.84,98.84,98.51,98.84,98.84,98.68,98.68,98.51,98.51,98.84,98.68,98.84,98.84,99.01,98.51,98.84,98.84,98.84,98.84,98.68,98.84,98.51
"OP688286.1_L1_537_9_ORF5_2017-07-25",99.01,99.5,99.5,99.67,99.34,99.5,99.34,99.83,99.34,99.17,98.35,99.67,99.34,98.68,99.67,99.83,99.34,99.17,99.67,99.34,98.35,99.67,98.35,99.83,99.34,98.84,98.68,98.68,98.84,99.34,99.67,99.67,99.67,99.34,99.17,99.17,99.34,98.51,99.01,98.68,99.67,99.34,99.34,99.5,99.83,99.67,99.67,99.83,99.34,99.83,99.67,99.67,99.67,99.17,99.5,99.67,99.34,98.84,99.67,98.84,98.68,99.17,100,99.34,99.67,99.67,99.34,99.5,99.01,99.17,99.34,99.01,99.67,99.67,99.67,99.34,99.34,99.5,99.67,99.67,99.67,99.67,99.67,99.17,98.84,99.83,97.85,97.85,97.69,97.69,97.69,98.02,97.85,97.69,97.85,97.69,97.69,98.02,98.02,97.85,98.02,97.69,97.69,98.02,98.02,97.69,98.02,98.02,97.85,98.02,97.69,97.69,98.02,98.02,97.69,98.02,98.02,97.85,97.85,97.69,97.69,98.02,97.85,98.02,98.02,98.18,97.69,98.02,98.02,98.02,98.02,97.85,98.02,97.69
"OP688287.1_L1_538_9_ORF5_2017-07-25",99.5,99.34,99.34,99.5,99.17,99.34,99.17,99.34,100,99.83,99.01,99.17,100,99.34,99.01,99.17,100,99.83,99.34,100,99.01,99.01,98.84,99.34,100,99.5,99.34,99.34,99.5,98.84,99.34,99.34,99.34,100,99.83,99.83,100,99.17,99.67,99.34,99.34,100,100,99.17,99.17,99.34,99.34,99.17,100,99.17,99.34,99.34,99.34,99.83,99.17,99.34,100,99.5,99.34,99.5,99.34,99.83,99.34,100,99.34,99.34,100,99.34,99.67,99.83,100,99.67,99.34,99.34,99.34,100,100,99.5,99.34,99.34,99.01,99.34,99.34,99.83,99.5,99.17,98.51,98.51,98.35,98.35,98.35,98.68,98.51,98.35,98.51,98.35,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.51,98.35,98.35,98.68,98.51,98.68,98.68,98.84,98.35,98.68,98.68,98.68,98.68,98.51,98.68,98.35
"OP688288.1_L1_539_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688289.1_L1_541_9_ORF5_2017-07-25",98.84,99.34,99.34,99.5,99.17,99.34,99.5,99.67,99.34,99.17,98.35,99.5,99.34,98.68,99.67,99.5,99.34,99.17,100,99.34,98.35,99.34,98.51,99.67,99.34,99.17,98.68,98.68,99.17,99.5,100,100,100,99.34,99.17,99.17,99.34,98.51,99.01,98.68,100,99.34,99.34,99.83,99.5,100,100,99.5,99.34,99.83,100,100,100,99.5,99.83,99.67,99.34,99.17,100,99.17,99.01,99.5,99.67,99.34,100,100,99.34,99.5,99.01,99.5,99.34,99.01,100,100,100,99.34,99.34,99.5,100,99.67,99.67,100,100,99.5,99.17,99.83,98.18,98.18,98.02,98.02,98.02,98.35,98.18,98.02,98.18,98.02,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.35,98.02,98.02,98.35,98.35,98.02,98.35,98.35,98.18,98.18,98.02,98.02,98.35,98.18,98.35,98.35,98.51,98.02,98.35,98.35,98.35,98.35,98.18,98.35,98.02
"OP688290.1_L1_542_9_ORF5_2017-07-25",99.5,99.34,99.34,99.5,99.17,99.34,99.17,99.34,100,99.83,99.01,99.17,100,99.34,99.01,99.17,100,99.83,99.34,100,99.01,99.01,98.84,99.34,100,99.5,99.34,99.34,99.5,98.84,99.34,99.34,99.34,100,99.83,99.83,100,99.17,99.67,99.34,99.34,100,100,99.17,99.17,99.34,99.34,99.17,100,99.17,99.34,99.34,99.34,99.83,99.17,99.34,100,99.5,99.34,99.5,99.34,99.83,99.34,100,99.34,99.34,100,99.34,99.67,99.83,100,99.67,99.34,99.34,99.34,100,100,99.5,99.34,99.34,99.01,99.34,99.34,99.83,99.5,99.17,98.51,98.51,98.35,98.35,98.35,98.68,98.51,98.35,98.51,98.35,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.68,98.35,98.35,98.68,98.68,98.35,98.68,98.68,98.51,98.51,98.35,98.35,98.68,98.51,98.68,98.68,98.84,98.35,98.68,98.68,98.68,98.68,98.51,98.68,98.35
